LIST,EXP ORDER,ID,CONDITION,VERB TYPE,BEFORE/AFTER,AUDIO FILE NAME,ITEM
TOList1,1,FILLER_GOOD_1,FILLER_GOOD,N/A,N/A,FILLER_GOOD_1.wav,A microphone hit the emcee.
TOList1,2,FILLER_MED_1,FILLER_MED,N/A,N/A,FILLER_MED_1.wav,The motorcycle that we walked home after Eli slept on.
TOList1,3,PP_SL_1,PP_SL,N/A,N/A,PP_SL_1.wav,The athlete ran toward the gate with the baton that was passed.
TOList1,4,DECL_TO_enchant,DECL_TO,Stative,N/A,DECL_TO_enchant.wav,The student lit sparklers to enchant the audience.
TOList1,5,FILLER_BAD_1,FILLER_BAD,N/A,N/A,FILLER_BAD_1.wav,Who are closed a window?
TOList1,6,DECL_TO_clean,DECL_TO,Active,N/A,DECL_TO_clean.wav,The actor did laundry to clean the stain.
TOList1,7,PP_LL_1 ,PP_LL,N/A,N/A,PP_LL_1 .wav,The professor talked about the assignment that was late during the videoconference that was long.
TOList1,8,Q_TO_assist,Q_TO,Active,N/A,Q_TO_assist.wav,Who did the nurse change sheets to assist?
TOList1,9,DECL_TO_imagine,DECL_TO,Stative,N/A,DECL_TO_imagine.wav,The receptionist tried meditation to imagine the future.
TOList1,10,PP_LS_1,PP_LS,N/A,N/A,PP_LS_1.wav,The actress competed for the role that was important during the audition.
TOList1,11,FILLER_GOOD_4,FILLER_GOOD,N/A,N/A,FILLER_GOOD_4.wav,Are all of the children in the room?
TOList1,12,PP_SS_1,PP_SS,N/A,N/A,PP_SS_1.wav,The swimmer spoke on the phone before the meet.
TOList1,13,Q_TO_bake,Q_TO,Active,N/A,Q_TO_bake.wav,What did the gardener pick berries to bake?
TOList1,14,FILLER_BAD_2,FILLER_BAD,N/A,N/A,FILLER_BAD_2.wav,Would the this store is successful?
TOList1,15,DECL_TO_demonstrate,DECL_TO,Active,N/A,DECL_TO_demonstrate.wav,The guide drank beer to demonstrate the dance.
TOList1,16,FILLER_MED_2,FILLER_MED,N/A,N/A,FILLER_MED_2.wav,Who conquered a company before a priest could drove to which house?
TOList1,17,DECL_TO_know,DECL_TO,Stative,N/A,DECL_TO_know.wav,The representative conducted polls to know the plan.
TOList1,18,PP_LS_2,PP_LS,N/A,N/A,PP_LS_2.wav,The robber escaped from the neighborhood that was peaceful with the jewelry.
TOList1,19,FILLER_MED_3,FILLER_MED,N/A,N/A,FILLER_MED_3.wav,A violinist donated a warthog.
TOList1,20,Q_TO_contact,Q_TO,Active,N/A,Q_TO_contact.wav,Who did the author call the office to contact?
TOList1,21,FILLER_GOOD_3,FILLER_GOOD,N/A,N/A,FILLER_GOOD_3.wav,The teacher says that the course should contain material on the history of Ecuador in the colonial period.
TOList1,22,PP_LL_2 ,PP_LL,N/A,N/A,PP_LL_2 .wav,The beautician raved about the hairstyle that was trendy to the customer that was curious.
TOList1,23,DECL_TO_feed,DECL_TO,Active,N/A,DECL_TO_feed.wav,The bookkeeper set the table to feed the boys.
TOList1,24,FILLER_BAD_3,FILLER_BAD,N/A,N/A,FILLER_BAD_3.wav,A closet traveled a brother.
TOList1,25,Q_TO_enjoy,Q_TO,Stative,N/A,Q_TO_enjoy.wav,What did the musician order dinner to enjoy?
TOList1,26,PP_SL_2,PP_SL,N/A,N/A,PP_SL_2.wav,The mom strolled with the kite around the park that was busy.
TOList1,27,Q_TO_celebrate,Q_TO,Active,N/A,Q_TO_celebrate.wav,What did the grandmother buy shoes to celebrate?
